Year,Current Item Name,Current Item Code,Legacy Item Name,Legacy Commodity Code,County,County Code,Harvested Acres,Production,Price Per Unit,Value,Unit,Row Type Id,Commodities In Group,Footnote
2022,Alfalfa,,,,Alameda,1,95.0,,,125000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Amador,5,855.0,,,1881000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Butte,7,520.0,,,637000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Colusa,11,7440.0,,,13987000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Contra Costa,13,1730.0,,,1549000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Fresno,19,24500.0,,,58830000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Glenn,21,8930.0,,,19772000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Imperial,25,148000.0,,,269735000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Inyo,27,,,,3629000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Kings,31,20800.0,,,67540000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Lassen,35,23100.0,,,36374000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Madera,39,7900.0,,,26845000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Merced,47,41100.0,,,117533000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Modoc,49,36400.0,,,85176000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Mono,51,,,,20793000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Monterey,53,694.0,,,434000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Plumas,63,5480.0,,,6478000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Riverside,65,42500.0,,,108448000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Sacramento,67,12600.0,,,22486000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,San Bernardino,71,2920.0,,,6347000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,San Joaquin,77,40200.0,,,105052000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,San Luis Obispo,79,1030.0,,,2842000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Shasta,89,2700.0,,,5166000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Sierra,91,3220.0,,,3807000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Siskiyou,93,35000.0,,,45712000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Solano,95,16200.0,,,30946000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Sutter,101,3880.0,,,7075000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Tehama,103,1130.0,,,1552000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Tulare,107,28900.0,,,128289000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Yolo,113,20200.0,,,39324000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Alfalfa,,,,Yuba,115,147.0,,,182000.0,,data table row,"Alfalfa, Hay | Alfalfa, Misc | Alfalfa, Silage",
2022,Almonds,,,,Butte,7,35900.0,,,109861000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Colusa,11,55400.0,,,86541000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Fresno,19,303000.0,,,1105670000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Glenn,21,68800.0,,,116663000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Kern,29,223000.0,,,952068000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Kings,31,38800.0,,,132323000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Merced,47,166000.0,,,560120000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Placer,61,4290.0,,,4878000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Sacramento,67,3740.0,,,7525000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,San Joaquin,77,116000.0,,,453176000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Solano,95,17900.0,,,21290000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
2022,Almonds,,,,Stanislaus,99,212000.0,,,752971000.0,,data table row,"Almonds, Hulls | Almonds, Nuts | Almonds, Other By-Products",
