Driver,Name_x,Year_x,Race_Result,Serial
Tommi Mäkinen,Rallye Automobile Monte-Carlo,2000,1,1.0
Carlos Sainz,Rallye Automobile Monte-Carlo,2000,2,1.0
Colin McRae,Rallye Automobile Monte-Carlo,2000,DNF,1.0
Carlos Sainz,International Swedish Rally,2000,DNF,2.0
Colin McRae,International Swedish Rally,2000,3,2.0
Tommi Mäkinen,International Swedish Rally,2000,2,2.0
Tommi Mäkinen,Sameer Safari Rally Kenya,2000,DNF,3.0
Carlos Sainz,Sameer Safari Rally Kenya,2000,4,3.0
Colin McRae,Sameer Safari Rally Kenya,2000,DNF,3.0
Colin McRae,TAP Rallye de Portugal,2000,DNF,4.0
Carlos Sainz,TAP Rallye de Portugal,2000,3,4.0
Tommi Mäkinen,TAP Rallye de Portugal,2000,DNF,4.0
Colin McRae,Rallye Catalunya - Costa Brava - Rallye de España,2000,1,5.0
Tommi Mäkinen,Rallye Catalunya - Costa Brava - Rallye de España,2000,4,5.0
Carlos Sainz,Rally Argentina,2000,DNF,6.0
Colin McRae,Rally Argentina,2000,DNF,6.0
Tommi Mäkinen,Rally Argentina,2000,3,6.0
Colin McRae,Acropolis Rally,2000,1,7.0
Carlos Sainz,Acropolis Rally,2000,2,7.0
Tommi Mäkinen,Acropolis Rally,2000,DNF,7.0
Carlos Sainz,Propecia Rally New Zealand,2000,3,8.0
Tommi Mäkinen,Propecia Rally New Zealand,2000,DNF,8.0
Colin McRae,Propecia Rally New Zealand,2000,2,8.0
Carlos Sainz,Neste Rally Finland,2000,1,9.0
Tommi Mäkinen,Neste Rally Finland,2000,4,9.0
Colin McRae,Neste Rally Finland,2000,2,9.0
Sébastien Loeb,Neste Rally Finland,2000,DNF,9.0
Colin McRae,Cyprus Rally,2000,2,10.0
Carlos Sainz,Cyprus Rally,2000,1,10.0
Tommi Mäkinen,Cyprus Rally,2000,5,10.0
Tommi Mäkinen,V-Rally Tour de Corse - Rallye de France,2000,DNF,11.0
Colin McRae,V-Rally Tour de Corse - Rallye de France,2000,DNF,11.0
Carlos Sainz,V-Rally Tour de Corse - Rallye de France,2000,3,11.0
Tommi Mäkinen,Rallye Sanremo - Rallye d'Italia,2000,3,12.0
Colin McRae,Rallye Sanremo - Rallye d'Italia,2000,6,12.0
Carlos Sainz,Rallye Sanremo - Rallye d'Italia,2000,5,12.0
Sébastien Loeb,Rallye Sanremo - Rallye d'Italia,2000,1,12.0
Colin McRae,Telstra Rally Australia,2000,DNF,13.0
Tommi Mäkinen,Telstra Rally Australia,2000,DNF,13.0
Carlos Sainz,Telstra Rally Australia,2000,DNF,13.0
Sébastien Loeb,Network Q Rally of Great Britain,2000,3,14.0
Colin McRae,Network Q Rally of Great Britain,2000,DNF,14.0
Carlos Sainz,Network Q Rally of Great Britain,2000,4,14.0
Tommi Mäkinen,Network Q Rally of Great Britain,2000,3,14.0
Colin McRae,Rallye Automobile Monte-Carlo,2001,DNF,15.0
Sébastien Loeb,Rallye Automobile Monte-Carlo,2001,1,15.0
Tommi Mäkinen,Rallye Automobile Monte-Carlo,2001,1,15.0
Carlos Sainz,Rallye Automobile Monte-Carlo,2001,2,15.0
Colin McRae,International Swedish Rally,2001,9,16.0
Sébastien Loeb,International Swedish Rally,2001,DNF,16.0
Carlos Sainz,International Swedish Rally,2001,3,16.0
Tommi Mäkinen,International Swedish Rally,2001,DNF,16.0
Tommi Mäkinen,TAP Rallye de Portugal,2001,1,17.0
Colin McRae,TAP Rallye de Portugal,2001,DNF,17.0
Carlos Sainz,TAP Rallye de Portugal,2001,2,17.0
Tommi Mäkinen,Rallye Catalunya - Costa Brava - Rallye de España,2001,3,18.0
Colin McRae,Rallye Catalunya - Costa Brava - Rallye de España,2001,DNF,18.0
Carlos Sainz,Rallye Catalunya - Costa Brava - Rallye de España,2001,5,18.0
Carlos Sainz,Rally Argentina,2001,3,19.0
Tommi Mäkinen,Rally Argentina,2001,4,19.0
Colin McRae,Rally Argentina,2001,1,19.0
Carlos Sainz,Cyprus Rally,2001,3,20.0
Tommi Mäkinen,Cyprus Rally,2001,DNF,20.0
Colin McRae,Cyprus Rally,2001,1,20.0
Carlos Sainz,Acropolis Rally,2001,DNF,21.0
Tommi Mäkinen,Acropolis Rally,2001,4,21.0
Colin McRae,Acropolis Rally,2001,1,21.0
Carlos Sainz,Safari Rally Kenya,2001,DNF,22.0
