CITATION,TYPE,AGENCY2,LOCAL,RACE,SEX,DAYNIGHT,MPHGROUP,AGEGROUP,INTOWN,INSTATE
K0001506,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0001507,T,State Police,N,W,F,day,U,36-40,N,Y
K0001509,T,State Police,N,W,F,day,U,61-65,N,N
K0001510,T,State Police,N,W,M,night,U,51-55,N,N
K0001511,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,Y
K0001513,T,State Police,N,W,M,day,d) more than 20,36-40,N,Y
K0001514,W,State Police,N,W,M,night,b) 10 to 15,26-30,N,N
K0001515,W,State Police,N,B,F,night,b) 10 to 15,21-25,N,N
K0001516,W,State Police,N,U,F,night,b) 10 to 15,26-30,Y,Y
K0001517,W,State Police,N,W,F,night,b) 10 to 15,21-25,N,Y
K0001518,W,State Police,N,W,F,night,b) 10 to 15,51-55,N,N
K0001519,W,State Police,N,W,F,night,b) 10 to 15,46-50,N,N
K0001520,W,State Police,N,W,M,night,U,46-50,N,Y
K0001521,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0001522,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0001523,T,State Police,N,W,F,day,c) 16 to 20,51-55,N,N
K0001524,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0001525,T,State Police,N,W,M,day,c) 16 to 20,36-40,N,N
K0001526,T,State Police,N,W,M,day,b) 10 to 15,36-40,N,Y
K0001527,T,State Police,N,W,M,day,c) 16 to 20,51-55,N,N
K0001528,T,State Police,N,W,M,day,c) 16 to 20,36-40,N,N
K0001530,T,State Police,N,W,M,day,d) more than 20,21-25,N,N
K0001531,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,N
K0001532,T,State Police,N,W,F,day,d) more than 20,26-30,N,Y
K0001535,T,State Police,N,W,M,day,c) 16 to 20,31-35,N,Y
K0001536,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,Y
K0001539,W,State Police,N,W,M,night,b) 10 to 15,31-35,N,Y
K0001540,W,State Police,N,W,M,night,b) 10 to 15,26-30,N,N
K0001541,T,State Police,N,W,F,night,d) more than 20,31-35,U,N
K0001546,T,State Police,N,A,M,day,c) 16 to 20,31-35,N,Y
K0001549,T,State Police,N,W,M,night,d) more than 20,26-30,N,Y
K0001551,T,State Police,N,W,M,night,U,26-30,N,Y
K0001558,W,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0001601,W,State Police,N,W,F,day,b) 10 to 15,26-30,N,Y
K0001607,T,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0001608,T,State Police,N,W,M,day,d) more than 20,16-20,N,Y
K0001609,T,State Police,N,W,M,night,U,36-40,U,N
K0001612,W,State Police,N,W,F,day,b) 10 to 15,36-40,N,Y
K0001614,T,State Police,N,W,F,night,c) 16 to 20,26-30,N,N
K0001616,W,State Police,N,W,F,night,b) 10 to 15,21-25,N,Y
K0001617,T,State Police,N,H,M,day,U,31-35,Y,Y
K0001620,T,State Police,N,W,M,day,U,36-40,N,N
K0001623,T,State Police,N,W,F,night,b) 10 to 15,26-30,N,Y
K0001625,T,State Police,N,W,M,night,b) 10 to 15,21-25,N,Y
K0001626,T,State Police,N,W,M,night,b) 10 to 15,51-55,N,Y
K0001628,W,State Police,N,W,M,day,b) 10 to 15,26-30,N,Y
K0001629,T,State Police,N,W,F,day,b) 10 to 15,31-35,N,Y
K0001632,T,State Police,N,B,M,day,c) 16 to 20,31-35,N,Y
K0001634,T,State Police,N,W,M,night,b) 10 to 15,41-45,N,Y
K0001638,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,N
K0001641,T,State Police,N,A,M,night,U,16-20,N,Y
K0001642,T,State Police,N,W,M,night,c) 16 to 20,41-45,N,N
K0001643,T,State Police,N,W,M,night,d) more than 20,26-30,N,Y
K0001645,T,State Police,N,W,M,night,c) 16 to 20,21-25,N,Y
K0001647,T,State Police,N,U,U,night,c) 16 to 20,36-40,N,Y
K0001649,T,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0001653,T,State Police,N,W,M,night,d) more than 20,36-40,N,Y
K0001655,T,State Police,N,H,M,day,c) 16 to 20,26-30,U,Y
K0001656,T,State Police,N,W,F,day,c) 16 to 20,16-20,N,Y
K0001658,T,State Police,N,W,M,day,b) 10 to 15,21-25,Y,Y
K0001660,T,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0001684,T,State Police,N,W,F,night,U,31-35,N,Y
K0001704,T,State Police,N,B,M,night,c) 16 to 20,21-25,N,Y
K0001721,T,State Police,N,W,M,night,c) 16 to 20,36-40,N,Y
K0001730,T,State Police,N,W,M,night,d) more than 20,16-20,N,Y
K0001737,W,State Police,N,W,M,day,b) 10 to 15,41-45,N,Y
K0001740,W,State Police,N,W,M,day,b) 10 to 15,31-35,N,Y
K0001741,T,State Police,N,W,M,day,U,36-40,N,Y
K0001742,T,State Police,N,W,M,day,U,76-80,N,Y
K0001743,T,State Police,N,W,M,night,b) 10 to 15,26-30,N,N
K0001842,T,State Police,N,W,M,night,U,46-50,N,Y
K0001845,T,State Police,N,W,M,day,U,31-35,N,N
K0001847,W,State Police,N,W,F,night,U,36-40,N,Y
K0001856,T,State Police,N,W,M,day,c) 16 to 20,36-40,N,Y
K0001857,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,Y
K0001859,T,State Police,N,A,F,day,d) more than 20,31-35,N,N
K0001861,T,State Police,N,W,M,night,U,21-25,N,Y
K0001862,T,State Police,N,W,F,night,U,21-25,N,Y
K0001863,T,State Police,N,W,M,day,d) more than 20,46-50,N,Y
K0001867,T,State Police,N,W,F,day,c) 16 to 20,41-45,N,Y
K0001870,T,State Police,N,W,M,day,c) 16 to 20,16-20,N,Y
K0001872,T,State Police,N,B,M,day,c) 16 to 20,31-35,N,Y
K0001873,T,State Police,N,W,F,day,c) 16 to 20,21-25,N,Y
K0001874,T,State Police,N,W,M,day,c) 16 to 20,16-20,N,Y
K0001875,T,State Police,N,W,F,day,c) 16 to 20,46-50,U,N
K0001876,T,State Police,N,W,M,day,d) more than 20,31-35,N,Y
K0001877,T,State Police,N,W,M,day,c) 16 to 20,26-30,N,Y
K0001878,T,State Police,N,W,F,day,c) 16 to 20,21-25,N,Y
K0001879,T,State Police,N,W,M,day,d) more than 20,51-55,U,N
K0001880,T,State Police,N,W,M,day,c) 16 to 20,21-25,N,Y
K0001902,T,State Police,N,H,F,day,U,41-45,N,Y
K0001904,T,State Police,N,W,F,day,U,31-35,N,Y
K0001905,T,State Police,N,U,F,day,U,31-35,N,Y
K0001906,T,State Police,N,W,F,day,U,21-25,N,N
K0001916,T,State Police,N,W,M,day,U,26-30,N,Y
K0001917,W,State Police,N,W,F,night,U,26-30,N,Y
K0001921,T,State Police,N,M,M,night,c) 16 to 20,36-40,N,Y
K0001922,T,State Police,N,A,M,day,d) more than 20,21-25,N,Y
K0001981,T,State Police,N,H,M,day,U,41-45,N,N
K0001982,T,State Police,N,B,M,night,d) more than 20,26-30,N,Y
K0002004,T,State Police,N,W,M,night,U,51-55,N,Y
K0002006,W,State Police,N,W,M,night,U,21-25,N,N
K0002007,T,State Police,N,W,F,night,U,31-35,N,Y
K0002008,W,State Police,N,W,F,night,U,36-40,N,Y
K0002009,W,State Police,N,W,F,day,U,51-55,N,Y
K0002010,W,State Police,N,H,F,day,U,21-25,Y,Y
K0002011,W,State Police,N,W,F,day,U,16-20,N,Y
K0002013,W,State Police,N,W,F,night,U,16-20,N,Y
K0002015,W,State Police,N,W,M,day,b) 10 to 15,21-25,N,Y
K0002016,W,State Police,N,W,M,day,b) 10 to 15,31-35,N,N
K0002017,W,State Police,N,W,M,day,b) 10 to 15,36-40,N,N
K0002018,W,State Police,N,H,M,day,b) 10 to 15,21-25,N,N
K0002020,W,State Police,N,W,M,night,U,26-30,N,Y
K0002021,T,State Police,N,W,M,day,U,41-45,Y,Y
K0002022,T,State Police,N,W,F,night,U,51-55,N,N
K0002024,T,State Police,N,W,M,day,U,36-40,N,N
K0002041,W,State Police,N,W,M,day,U,51-55,N,Y
K0002043,W,State Police,N,W,F,day,U,16-20,Y,Y
K0002044,T,State Police,N,W,M,day,U,51-55,Y,Y
K0002045,T,State Police,N,W,F,day,U,41-45,N,Y
K0002046,T,State Police,N,W,M,day,U,16-20,N,Y
K0002049,T,State Police,N,W,M,day,U,16-20,N,Y
K0002050,T,State Police,N,W,M,day,U,16-20,Y,Y
K0002051,T,State Police,N,W,F,day,U,16-20,N,Y
K0002052,T,State Police,N,W,M,day,U,31-35,N,Y
K0002056,W,State Police,N,W,M,day,U,31-35,N,Y
K0002057,W,State Police,N,W,M,day,b) 10 to 15,46-50,N,N
K0002058,W,State Police,N,W,M,day,b) 10 to 15,41-45,N,N
K0002059,W,State Police,N,W,M,day,U,26-30,N,Y
K0002060,W,State Police,N,W,F,day,a) less than 10,46-50,N,Y
K0002061,T,State Police,N,B,M,night,U,46-50,N,Y
K0002063,W,State Police,N,W,M,night,U,31-35,N,Y
K0002064,T,State Police,N,W,M,day,U,26-30,N,Y
K0002065,T,State Police,N,B,M,day,U,26-30,N,Y
K0002067,W,State Police,N,W,M,night,b) 10 to 15,66-70,N,N
K0002068,T,State Police,N,W,M,night,U,36-40,N,N
K0002069,W,State Police,N,W,M,night,b) 10 to 15,36-40,N,N
K0002070,T,State Police,N,W,F,night,U,31-35,N,N
K0002071,W,State Police,N,W,M,night,b) 10 to 15,31-35,N,Y
K0002072,W,State Police,N,M,M,day,U,46-50,N,Y
K0002074,T,State Police,N,W,M,day,U,21-25,N,Y
K0002076,T,State Police,N,W,F,night,b) 10 to 15,41-45,N,N
