File No,CTB No,API No,Well Type,Well Status,Status Date,DTD,Location,Operator,Well Name,Field
4898,,3306300019.0,OG,PNC,2/5/1971,,NWSW 6-154-59,"DYNA RAY OIL & GAS COMPANY, INC.",ALBERT OLSON 1,WILDCAT
246,,3307100003.0,OG,DRY,1/17/1953,3267.0,NENE 36-154-63,NORTHERN NATURAL GAS PRODUCING CO.,RAYMOND P. AND BLANCHE T. LEE 1,WILDCAT
196,,3307100002.0,OG,DRY,12/1/1952,3745.0,NENE 16-154-65,CARTER OIL CO.,ALLAN MACDIARMID 1,WILDCAT
683,,3300500012.0,OG,DRY,8/22/1954,3030.0,NENE 2-154-69,SHELL OIL CO.,H. R. HOFSTRAND 1,WILDCAT
632,,3300500004.0,OG,DRY,7/17/1954,5144.0,NWSE 31-154-70,"NATIONAL BULK CARRIERS, INC.",JOHN STADUM 1,WILDCAT
538,,3306900005.0,OG,DRY,3/3/1954,4440.0,NESE 17-154-72,CALVERT EXPLORATION CO.,CYRUS AND JOSEPH RAMBERG 1,WILDCAT
557,,3306900006.0,OG,DRY,4/15/1954,3213.0,NWNW 11-154-73,OWEN DRILLING CO.,HYDE ASSOCIATES SCHAAN 1,WILDCAT
4567,,3306900024.0,OG,DRY,12/2/1968,3035.0,SWSW 33-154-73,CARDINAL & GARTH CAYLOR,MIKE KLEIN 1,WILDCAT
361,,3306900003.0,OG,DRY,9/2/1953,3511.0,SWNW 22-154-74,CALVERT EXPLORATION CO.,MARTIN VOELLER 1,WILDCAT
3878,,3304900081.0,OG,DRY,5/22/1965,3385.0,NWNW 15-154-75,CARDINAL PETROLEUM CO. & OIL CAPITOL CORP.,KOBLE - BANK OF NORTH DAKOTA 1,WILDCAT
360,,3304900004.0,OG,DRY,8/17/1953,3965.0,NWSW 23-154-76,CALVERT EXPLORATION CO.,JOE BACHMEIR(ZIEGLER) 1,WILDCAT
1720,,3304900026.0,OG,DRY,1/22/1958,4236.0,NENE 30-154-77,HUNT OIL COMPANY,FRANK BOEHM 1,WILDCAT
769,,3304900007.0,OG,DRY,1/10/1955,6050.0,NWNW 14-154-78,CALVERT EXPLORATION CO.,FRED AND SIGNA WRIGHT 1,WILDCAT
10257,,3304900131.0,OG,DRY,7/21/1983,4474.0,NWNW 6-154-79,"AXEM RESOURCES, INC.",AXEM - STRANDBERG 4-6,WILDCAT
3237,,3310100046.0,OG,DRY,9/26/1962,5286.0,NENW 19-154-81,I. J. WILHITE,VERN WALDREF 1,WILDCAT
11112,,3310100322.0,OG,DRY,9/18/1984,5500.0,SESE 7-154-82,INEXCO OIL CO.,MAHONEY 1-7,WILDCAT
4891,,3310100115.0,OG,DRY,2/12/1970,5631.0,SWSE 31-154-82,"KOCH INDUSTRIES, INC.",FERN E. HERIGSTAD 1,WILDCAT
11002,,3310100317.0,OG,DRY,7/29/1984,5520.0,NWNW 33-154-82,INEXCO OIL CO.,ABELSTAD 1-33,WILDCAT
2930,,3310100035.0,OG,DRY,7/19/1961,5874.0,NWNW 8-154-83,I. J. WILHITE-CLYDE W. JONES,ARTHUR W. BENNO 1,WILDCAT
12241,,3310100346.0,OG,DRY,11/17/1987,6200.0,SENW 5-154-84,"CHEVRON USA, INC.",WILLIAMS 5-22,WILDCAT
13437,,3310100419.0,OG,DRY,10/26/1992,6315.0,SENW 7-154-84,"AXEM RESOURCES, INC.",MORK LAKE 6-7,WILDCAT
13610,,3310100431.0,OG,DRY,11/17/1993,6310.0,NESE 18-154-84,"WESTPORT OIL & GAS CO., INC.",MORK LAKE 9-18,WILDCAT
4153,,3310100073.0,OG,DRY,10/8/1966,6340.0,NENE 29-154-84,"CHANDLER & ASSOCIATES, INC.",WICKMAN 1,WILDCAT
6653,,3310100220.0,OG,DRY,9/22/1978,6400.0,SESW 32-154-84,HUNT ENERGY CORP.,NIENOW 1,WILDCAT
11661,,3310100330.0,OG,DRY,8/14/1985,6568.0,NENW 34-154-84,CENEX,HOLUM 3-34,WILDCAT
12365,,3310100353.0,OG,PA,10/1/1992,6260.0,SWSE 34-154-84,CENEX,CENEX FEDJE 15-34,TORNING
12702,,3310100380.0,OG,DRY,9/11/1989,6173.0,SESW 34-154-84,CENEX,DUSTIN 14-34,TORNING
4366,,3310100090.0,OG,DRY,1/4/1968,6250.0,NENE 1-154-85,I. J. WILHITE & SIMCOX OIL CO.,RAY C. SCHAEFER 1,WILDCAT
5389,,3310100166.0,OG,DRY,2/7/1974,6704.0,NWNW 6-154-85,DON BILLS & ST. CLAIR,J. H. DEMAREE - STATE OF N. D. 1,SOUTH LONE TREE
13803,,3310100436.0,OG,DRY,8/3/1995,6570.0,SESW 11-154-85,"TEXAS CRUDE ENERGY, INC.",OLSON 11 1,WILDCAT
8475,,3310100266.0,OG,DRY,4/12/1981,6375.0,SWSE 12-154-85,INEXCO OIL CO.,OLSON 1-12,WILDCAT
4987,,3310100123.0,OG,DRY,11/4/1970,6670.0,SENW 18-154-85,"DEPCO, INC. & TEXAS PACIFIC OIL CO.",STEVICK 1,WILDCAT
8691,,3310100271.0,OG,DRY,6/9/1981,6650.0,NWSW 34-154-85,INEXCO OIL CO.,OPLAND 1-34,WILDCAT
5154,,3310100147.0,OG,DRY,1/11/1972,6726.0,NESW 12-154-86,CARDINAL PETROLEUM CO. & KENNETH D. LUFF,BEN M. RUDE 1-12,WILDCAT
4223,,3310100080.0,OG,DRY,11/10/1972,6788.0,SWSW 22-154-86,H. L. HUNT,KALANZE 1,WILDCAT
5207,,3310100153.0,OG,DRY,9/5/1972,6765.0,SESE 35-154-86,"OIL RESOURCES, INC.",RUBBELKE 1,WILDCAT
12266,,3310100348.0,OG,DRY,12/4/1987,7100.0,SWSW 11-154-87,UNION TEXAS PETROLEUM CORP.,NESTE FRUNZ 11-1,WILDCAT
13349,,3310100414.0,OG,PNC,10/30/1992,,NESE 21-154-87,HONDO OIL & GAS CO.,HONDO COGC ST. PAUL 1,SHEALEY
13291,113291.0,3310100405.0,OG,PA,11/15/2019,7157.0,SWNE 22-154-87,Legacy Reserves Operating LP,DYKE 32-22,SHEALEY
13320,,3310100409.0,OG,DRY,8/10/1992,7200.0,SWSE 22-154-87,EQUITABLE RESOURCES ENERGY CO.,TRONDSON 34-22,SHEALEY
13340,,3310100411.0,OG,DRY,5/16/1992,7300.0,SWNW 22-154-87,EQUITABLE RESOURCES ENERGY CO.,DYKE 12-22,SHEALEY
13341,,3310100412.0,OG,PNC,3/26/1993,,SWSW 22-154-87,EQUITABLE RESOURCES ENERGY CO.,HAGEN 14-22,SHEALEY
14163,,3310100439.0,OG,DRY,4/6/1996,7175.0,NENW 22-154-87,EQUITABLE RESOURCES ENERGY CO.,DYKE 21-22,SHEALEY
13346,,3310100413.0,OG,PNC,2/1/1993,,NENW 27-154-87,TYREX OIL CO.,TYREX HAGEN STATE 21-27,SHEALEY
13247,,3310100402.0,OG,DRY,11/12/1991,7250.0,NWSE 28-154-87,HONDO OIL & GAS CO.,HONDO-COGC WELDER 33-28,WILDCAT
13168,,3310100398.0,OG,DRY,8/19/1995,7225.0,NWSE 33-154-87,FH PETROLEUM CORP.,FYLLESVOLD 10-33,WILDCAT
7238,,3306100231.0,OG,DRY,12/23/1979,10725.0,NWNE 5-154-88,UNION OIL COMPANY OF CALIFORNIA,OYNES 1-B5,WILDCAT
17054,,3306100657.0,OG,PNC,1/26/2009,,NWNW 28-154-88,HESS CORPORATION,THUNSHELLE 1-28 BH,WILDCAT
17052,,3306100656.0,OG,PNC,1/23/2009,,SESE 29-154-88,HESS CORPORATION,MOEN 1-29 BH,WILDCAT
17063,,3306100661.0,OG,PNC,1/27/2009,,SESE 30-154-88,HESS CORPORATION,EDWARDS 1-30 BH,WILDCAT
17065,,3306100662.0,OG,PNC,1/28/2009,,SESE 31-154-88,HESS CORPORATION,EDWARDS 1-31 BH,WILDCAT
17055,,3306100658.0,OG,PNC,1/26/2009,,NWNW 32-154-88,HESS CORPORATION,EDWARDS 1-32 BH,WILDCAT
17014,,3306100637.0,OG,PA,5/1/2018,14056.0,NWNW 33-154-88,"HESS BAKKEN INVESTMENTS II, LLC",EDWARDS 1-33 BH,WILDCAT
13193,,3306100445.0,OG,PA,7/3/1997,7650.0,NESE 34-154-88,LUFF EXPLORATION COMPANY,PAUL RAU 34-1,OSLOE
13421,113421.0,3306100456.0,OG,PA,9/7/2017,7550.0,SWNW 35-154-88,"RITTER, LABER & ASSOCIATES, INC.",SALTER 35-5,OSLOE
13475,,3306100458.0,OG,DRY,1/29/1993,7560.0,NESW 35-154-88,LUFF EXPLORATION COMPANY,NIELSEN K-35,OSLOE
13503,,3306100459.0,OG,DRY,4/1/1993,7500.0,NENE 35-154-88,LUFF EXPLORATION COMPANY,DALEY-HARMANN A-35,OSLOE
17647,,,,,,,,,,
